Country,data1,data2,data3,data4,data5
Ukraine,427,4733,704,10951,9671
Indonesia,107,5914,163,17557,949
China,384,9526,221,13628,6789
Moldova,434,5668,11,19234,6038
Czech Republic,291,4367,124,19322,9226
Serbia,341,9495,364,13574,7049
China,226,9219,2,16949,1250
Portugal,309,5842,5,17521,2732
China,426,7140,534,11322,4876
Pakistan,486,6619,924,19107,6110
China,384,4196,727,17071,9943
United States,141,7577,19,19992,3347
Nepal,436,7540,430,12795,1448
Syria,480,4676,491,14789,6497
Czech Republic,364,5206,368,14864,9929
China,496,5719,327,15217,6587
Indonesia,124,5825,298,10058,8968
Thailand,237,5023,393,15255,7720
Brazil,137,6638,540,18260,2060
Sweden,103,4657,797,12241,5143
Kosovo,298,9101,970,17993,9537
Dominican Republic,384,6919,313,10692,2417
China,394,7176,486,10815,8119
Indonesia,245,4952,205,13039,2138
Poland,411,5104,566,18831,776
China,134,4059,800,15970,2398
Russia,153,8798,903,12322,1496
Indonesia,266,5817,41,12376,1109
China,460,5376,76,11785,6694
Argentina,411,6606,249,15623,9930
Poland,292,7186,715,18413,4537
China,163,8319,68,13318,7629
Peru,318,8344,609,15617,6870
Greece,412,6080,46,16316,5761
Egypt,289,5105,119,10986,6402
Vietnam,170,4832,122,12692,2927
Czech Republic,485,6202,607,18481,9253
Uruguay,248,6547,148,19259,5685
Ukraine,318,9375,488,14421,7993
Russia,191,7898,358,18774,7813
Saudi Arabia,233,5344,26,10210,7848
Czech Republic,222,7974,834,12558,6161
Nigeria,387,8788,740,18001,7939
China,295,6413,406,13488,5992
China,404,7019,920,13618,311
France,402,8359,132,19821,594
Brazil,224,8139,453,19184,1684
Iran,256,9860,991,12509,4710
Indonesia,471,8372,244,16107,2980
China,303,8805,719,18084,2556
Indonesia,394,7627,596,18039,3112
Germany,249,9662,332,15828,9023
Egypt,462,6546,60,16143,2196
Russia,130,9391,833,19966,4889
China,196,7561,208,15257,6895
Dominican Republic,396,4154,288,12778,5274
Belarus,260,8670,301,19650,6475
Indonesia,367,5937,271,13451,3882
Indonesia,131,6803,595,11942,2230
Cambodia,380,8913,470,17171,6089
Ukraine,424,5911,949,10275,4689
United States,453,8223,553,18001,5531
Finland,479,4979,627,10719,2906
Nepal,195,4806,795,17177,4791
Cayman Islands,448,8756,669,16653,5397
Ukraine,261,9897,966,12362,3357
Philippines,322,6940,168,14489,5334
Senegal,282,8708,728,14234,4094
China,145,8075,460,10114,8444
China,274,6520,465,19404,2719
Russia,280,8681,821,18590,9193
China,384,6637,231,15367,2290
Russia,459,8072,63,14554,9420
Greenland,349,5883,164,14270,9613
Yemen,101,6846,742,19244,8987
Japan,228,4486,700,13613,9825
Brazil,305,9231,499,16133,1542
Philippines,342,6643,256,13581,2134
Sweden,241,5668,635,17454,651
Portugal,373,5528,543,13940,3296
Russia,418,5857,511,11232,5735
Thailand,176,6094,4,12971,4664
Germany,409,4086,916,16511,4531
Angola,455,6882,556,17340,9848
Japan,249,4474,199,13503,2125
China,409,5753,50,18683,5481
China,185,8915,575,17130,6148
Russia,402,9532,54,10926,8582
Peru,365,4941,543,10111,6728
Peru,272,7254,907,14827,8657
Portugal,114,8164,349,19233,3014
Russia,207,4332,471,15989,1155
Norway,463,8891,376,19087,144
Nigeria,237,5858,803,17027,2629
Czech Republic,142,4778,77,18217,496
Bangladesh,174,9267,709,19298,4401
France,146,7478,582,15186,2284
Latvia,291,8973,656,17456,2687
Albania,148,7733,161,11060,4397
Indonesia,275,7606,951,17558,3265
Czech Republic,460,8970,940,12372,4738
Russia,336,6849,297,14748,2988
China,361,9768,156,15262,6313
Argentina,282,7385,483,14413,3138
Jordan,449,9127,768,16729,3289
Colombia,445,4414,882,15014,9405
Indonesia,360,4195,445,17747,1057
Philippines,187,9414,792,15525,5822
Macedonia,377,4398,875,18200,4095
Czech Republic,310,6573,543,18421,9197
Indonesia,346,7306,369,15380,8964
Peru,218,8686,396,16946,5562
Sudan,227,4968,547,11936,9201
Philippines,332,9190,386,18830,2379
Thailand,356,4772,127,19842,3339
Greece,326,7081,298,14779,2929
Netherlands,233,7792,626,11003,2670
Poland,275,8780,599,12823,2020
Saint Lucia,477,7332,163,11836,3332
Canada,117,8519,372,15002,7006
Portugal,454,5331,581,14104,8452
Jamaica,486,9611,347,11989,6452
Philippines,200,9981,277,15605,1026
Poland,392,9497,397,18705,1892
Philippines,154,4339,370,13052,4384
Nigeria,232,8634,306,13379,431
China,291,9886,366,16141,8840
Slovenia,471,7303,810,12916,4373
China,213,8324,395,11699,1873
Israel,232,7731,308,11636,614
China,365,8866,685,10776,453
Honduras,376,8106,211,10515,3159
Colombia,247,9944,720,14973,7454
Colombia,177,4623,956,17119,7962
Chile,299,7516,139,14681,6489
China,350,4134,501,16250,3755
Poland,137,7922,822,10079,1479
France,127,5629,438,13974,2754
Sweden,130,5673,987,16809,3639
United States,214,8809,846,16907,6994
China,224,8728,522,10804,4569
Turkmenistan,241,4897,746,16228,1301
China,130,6838,2,13752,2756
Indonesia,381,6655,434,16209,5472
Russia,125,4775,243,15143,5234
Nigeria,373,9218,258,14416,6355
Russia,411,8057,52,14091,952
China,496,5234,760,19458,2022
Indonesia,112,8206,144,15127,8723
Sweden,328,9257,225,16976,8513
Solomon Islands,161,8937,783,13096,8369
Philippines,239,5204,602,18332,6828
Poland,422,7984,356,19180,9626
Mongolia,401,4934,833,14011,589
Ukraine,497,6824,669,19166,8661
China,486,9194,408,14933,6658
Armenia,326,7010,807,11657,6758
Portugal,126,6360,188,19929,6417
Philippines,328,6824,239,13057,3886
Pakistan,177,4805,111,19409,5756
Philippines,456,6232,21,11262,3044
Brazil,474,9015,663,13020,9832
China,183,9258,641,19339,6384
Vietnam,125,7941,613,14904,5985
Bulgaria,293,8127,658,14265,5804
Peru,483,8430,850,10546,3538
Philippines,281,6490,212,14300,3020
China,192,4148,1000,19358,5197
Philippines,228,8737,456,19786,291
China,464,6387,84,15864,435
Burkina Faso,135,8742,204,12379,4698
Indonesia,127,9578,254,17614,2278
Philippines,117,7956,658,19677,7379
Indonesia,463,5065,127,13941,8331
France,201,5439,232,10646,7318
Guinea,479,9702,582,13513,2653
Russia,326,4946,75,15221,3467
China,446,5622,861,14957,8858
Philippines,265,5919,137,17769,1084
Kazakhstan,303,4683,632,11684,6767
China,301,7905,644,11177,2725
China,232,4899,870,10039,3601
Philippines,458,9180,154,17146,8810
Czech Republic,251,4942,81,18774,2091
China,108,4260,653,15040,6541
China,266,9393,193,14412,1805
Russia,113,6303,385,18856,5532
Indonesia,364,9443,560,18984,2760
United States,490,5845,483,11463,5659
Brazil,401,8193,341,15153,7757
Poland,463,6023,477,15476,2816
Indonesia,157,4008,294,17367,9804
Sweden,387,4723,203,10530,8552
Slovenia,289,8415,819,16999,3778
Poland,417,4398,516,13685,9895
Australia,487,9965,467,14160,6664
Indonesia,283,8118,37,18544,3778
Indonesia,336,4343,34,12097,1597
China,399,6132,57,15562,8565
Indonesia,130,4356,669,16520,95
China,402,8809,977,14160,1148
China,210,9793,367,17665,2799
Sweden,107,6310,982,13523,7421
Syria,478,4273,666,17603,7159
Russia,308,6380,158,17210,7973
Thailand,403,4570,159,11647,752
Somalia,173,9860,62,11778,532
China,112,5843,44,14723,2861
Morocco,378,7367,657,16346,2924
China,269,6311,202,13432,3851
France,372,6989,399,10578,6789
Indonesia,359,7715,992,10010,2984
China,208,6776,830,14686,742
Philippines,253,6725,216,10274,3530
Portugal,208,4191,724,18526,2322
China,133,6434,92,19073,6015
Finland,393,7236,274,18748,4837
Canada,161,7421,247,13151,9424
France,458,6312,759,19858,2715
Colombia,269,5957,396,10174,8368
Peru,456,8682,970,10454,8842
Poland,122,9351,503,14193,4113
Finland,345,6575,899,17257,3719
Russia,305,9710,698,11514,1086
Indonesia,406,9527,463,16655,5723
Poland,104,6965,885,18780,5191
Palestinian Territory,405,6513,204,13354,5175
Belarus,338,4812,262,14734,6492
Russia,333,6743,235,11850,9180
China,200,5145,160,10446,7032
Samoa,159,9286,756,12045,7289
China,122,8721,434,13959,9606
Cyprus,322,5758,744,13787,6073
Mexico,373,7193,895,14675,4663
Finland,268,7088,532,17177,2782
Peru,306,9945,857,18956,6031
Ukraine,259,6065,654,10964,3466
Honduras,327,4317,970,13599,7627
Albania,267,8991,464,18444,3184
Egypt,298,6245,778,17871,5661
Japan,311,4550,139,13764,3712
Armenia,343,8187,158,18057,8378
Philippines,130,8344,149,17040,7104
Bulgaria,403,4133,806,12519,8226
Ukraine,363,9636,498,16127,1960
Indonesia,268,8341,622,10562,8770
Indonesia,118,4750,783,11844,3191
Brazil,102,4892,131,18817,553
China,404,9781,220,10111,6755
Philippines,226,7462,256,10094,3400
Colombia,302,5101,920,16557,608
Canada,373,5326,113,17922,1897
Mongolia,315,6722,352,15934,1176
Indonesia,233,4998,475,19258,7883
Poland,345,6782,831,15794,7941
Canada,385,6039,692,12526,6125
Pakistan,422,7054,964,11098,2295
Indonesia,191,6454,535,18059,790
Poland,399,7259,292,16431,9408
Israel,370,8140,194,17933,1594
Ukraine,130,4359,403,15826,4483
Russia,133,9616,256,19473,6104
Poland,444,4779,901,11514,3166
El Salvador,142,4970,160,19795,3305
Russia,230,5910,410,15182,3390
China,494,6215,401,19515,9526
Indonesia,104,7027,755,12736,1594
Azerbaijan,361,4862,35,15125,9050
Philippines,340,4437,87,13707,791
Poland,485,4106,182,12516,2052
Indonesia,377,9378,830,13670,1575
Argentina,311,5622,739,16543,4190
Indonesia,190,6225,813,14613,8923
China,154,5510,140,12209,1676
Ukraine,314,6105,773,10613,6781
Argentina,311,9685,727,10831,9322
Guatemala,393,7618,852,12138,69
China,202,6984,978,18576,306
Greece,215,9895,261,13508,4954
Afghanistan,342,7099,966,13294,8929
China,396,9551,292,19830,2111
Philippines,317,7563,319,16550,9123
Colombia,340,4416,96,13056,5373
China,376,7278,794,16064,2862
Slovenia,227,4759,636,19285,1755
Russia,490,7462,633,13108,4648
Indonesia,402,5331,51,18612,2684
Philippines,131,9928,561,15382,4537
Portugal,399,6951,256,16704,1628
Kazakhstan,265,9542,675,12116,1493
China,116,9557,406,19140,4963
Nicaragua,233,6246,846,17939,4334
Brazil,141,8661,685,13260,912
Poland,155,4753,55,14596,9337
Portugal,162,4406,305,10599,6648
China,259,8789,545,18223,7714
Czech Republic,475,9615,104,18961,9610
China,276,9527,515,14458,9401
Thailand,459,6466,423,12233,2391
Russia,134,6170,674,18771,8943
Philippines,115,8869,840,11573,4288
China,121,5976,19,13756,7064
China,476,8725,435,17436,6737
Indonesia,297,6104,91,12323,5568
Poland,279,9571,279,19416,1605
Poland,131,6551,968,18430,2494
Indonesia,118,9527,200,18144,3248
Nigeria,225,4506,138,18003,2210
Peru,327,6525,829,18388,5273
Brazil,349,9070,765,10217,9382
Brazil,187,4695,693,15053,4788
Russia,248,7650,839,16102,5557
Russia,337,9804,584,12458,8049
Syria,321,9734,391,10029,5285
Indonesia,337,9669,292,19807,5221
China,179,4245,618,19158,2110
Armenia,297,4259,146,11826,8420
China,305,5913,549,10994,6230
Iran,496,9950,562,17059,1757
Indonesia,315,5610,76,16594,9186
China,233,5904,74,16056,2614
Palestinian Territory,336,8908,374,11730,2322
Brazil,342,8417,310,17462,3236
Indonesia,166,5526,164,15488,237
Sweden,359,7507,581,13313,8553
Portugal,249,5254,870,11428,7209
Indonesia,457,7465,217,17447,1365
China,251,8616,270,11723,9192
Portugal,273,8592,953,11809,5380
Bahrain,105,9737,814,19476,2467
Sweden,371,4606,783,13236,3302
Egypt,294,5199,648,11668,483
Finland,271,6397,237,12924,198
Indonesia,495,6823,387,16470,8561
Brazil,185,8191,985,11610,2273
Argentina,296,4222,325,15478,1423
Morocco,341,6878,240,17097,3847
Vietnam,142,8724,638,17248,1569
Colombia,179,5986,982,13690,578
Brazil,110,9300,256,18673,9483
Indonesia,184,9526,748,17424,7852
Kosovo,333,7631,20,19836,2940
Russia,330,6871,393,17690,3562
China,202,5050,657,19937,3731
Philippines,154,6591,804,19813,3068
Cyprus,454,5845,162,11038,8558
Russia,326,5329,678,13282,753
Bulgaria,116,8407,612,19446,4980
Dominican Republic,444,4027,47,16106,3755
Philippines,336,5443,779,17783,6234
United States,167,9424,411,18434,542
Mongolia,383,5962,122,18703,1738
Iran,245,5130,271,13256,4548
Kosovo,176,4397,390,14784,3907
China,232,4654,916,19369,9211
Cambodia,431,9296,921,13757,7620
Colombia,323,4017,92,12094,3091
Japan,294,6488,900,13094,1171
United States,440,7081,189,11284,3598
China,146,6126,494,18539,7294
China,196,7055,98,12361,806
Czech Republic,134,6411,820,11763,7376
Greece,304,7186,845,18209,3227
Russia,412,8554,99,14156,8775
United States,365,8592,982,15013,9747
Indonesia,446,8193,877,19021,9193
Thailand,236,4362,526,16066,4779
Zambia,278,5416,994,11157,7616
Ethiopia,419,4754,650,17719,9133
Peru,370,5872,5,14763,7133
South Korea,205,9012,324,15689,3944
China,448,6227,230,12432,3989
China,114,6991,606,15724,5709
Indonesia,224,7389,963,13883,5328
China,295,7212,745,10536,7382
Martinique,425,8801,278,11513,3439
Indonesia,144,9878,417,10709,2169
Indonesia,264,8258,324,16669,4832
China,146,9018,404,14489,7425
China,270,7660,120,17839,7194
Portugal,385,7396,486,15125,5405
China,297,9115,204,10107,2693
Peru,191,5772,394,13622,4843
Russia,277,6693,784,18655,8714
Japan,463,4772,668,15453,6958
Thailand,381,6950,586,13935,4233
China,179,8353,484,14616,8401
Armenia,298,6047,282,18771,5574
China,100,8488,188,12936,9540
Kazakhstan,227,8680,179,15330,6165
China,390,9251,920,14590,2670
Philippines,470,8622,855,14479,511
Canada,145,7167,104,10802,3148
China,408,8904,939,13538,274
Mexico,165,7222,747,18388,9317
France,475,7908,882,16000,4111
France,363,9741,999,18099,2370
Kazakhstan,206,9863,990,16911,7162
Japan,247,6111,69,10725,6207
Russia,219,5435,173,15644,2229
New Zealand,290,4508,92,18246,5412
China,320,6366,266,15143,8671
Chile,257,8748,327,10812,2835
China,213,4100,504,18149,9972
Brazil,224,7865,115,11394,3498
Portugal,399,8510,865,15509,1946
Philippines,298,4627,354,14709,9281
China,363,5823,596,11886,320
Mexico,137,4100,896,16911,1581
Indonesia,361,6737,610,11069,6088
China,151,6389,26,12962,2284
Russia,125,5179,866,16692,3614
China,412,8878,123,14342,2628
Chad,363,8451,846,16944,2465
Philippines,486,4060,424,16097,7598
Mexico,449,6571,916,12609,6158
South Africa,158,7576,744,19218,8063
China,375,4371,814,11045,5727
China,451,4019,242,16750,1244
Australia,218,5608,207,16456,6468
Philippines,140,6918,84,12821,3789
China,324,9598,305,14936,265
Russia,206,8212,747,17876,9978
Greece,357,8070,827,14218,5347
Indonesia,270,6377,138,13560,4287
Argentina,113,6408,755,12172,8701
Latvia,281,5400,654,14600,3293
South Korea,379,6764,921,13259,1777
China,190,8818,812,14645,9490
Canada,146,6988,721,12834,8498
Thailand,179,7288,649,14379,9080
Portugal,165,5698,138,17430,8228
China,419,6614,316,16715,9518
China,341,8493,725,13613,3112
Poland,109,6577,755,11663,5395
Portugal,336,4097,769,12615,6083
Portugal,129,4994,783,16416,3538
China,360,6156,613,10210,7806
Colombia,215,9051,480,13961,3738
Russia,222,4485,763,16047,778
China,278,6874,796,13645,4127
Greece,228,6075,563,10041,9821
Sweden,156,8004,866,18359,3304
China,400,4985,99,12693,3009
Egypt,300,5205,7,11625,2291
China,268,8990,165,17971,40
Malaysia,240,4135,510,18767,1952
Ethiopia,192,6314,524,16465,5189
Philippines,378,6298,547,19627,1527
Japan,452,7478,6,18417,6758
China,475,6060,355,17119,7293
Russia,204,9244,800,15980,8294
Russia,286,6318,767,19146,1911
China,312,8150,680,11357,1457
French Southern Territories,498,6051,490,11021,7806
French Polynesia,213,5583,783,18332,9245
China,101,6321,229,15283,2810
Russia,131,5137,33,17286,1664
Belarus,290,6739,176,18039,5069
Indonesia,278,4050,394,14149,7789
China,493,4051,306,18017,7024
Thailand,197,6756,910,11323,7340
Indonesia,396,9535,455,15967,633
China,262,7988,172,18579,7832
Russia,323,7284,680,11589,7736
Papua New Guinea,200,6179,523,13036,4829
China,441,7268,64,14707,9031
Kiribati,329,8075,328,10482,2420
Jamaica,177,8059,821,15208,2994
France,368,7062,731,15550,4519
Costa Rica,356,8372,757,18347,1259
China,490,4394,564,13113,3547
Costa Rica,113,9592,645,10910,8817
Argentina,129,5311,393,17344,2814
Russia,193,4724,492,14519,7681
Indonesia,442,7320,992,10870,5615
Indonesia,389,8654,375,18483,3234
Ukraine,222,4422,168,10548,8848
China,239,5059,845,14358,9433
Indonesia,436,4542,411,14252,372
Colombia,449,4526,875,17995,1418
Indonesia,245,8377,167,14710,7696
Sweden,468,7747,334,11923,8645
Finland,354,5225,555,19235,9388
China,244,4669,62,17049,3135
Ukraine,290,6576,647,18929,8102
Serbia,420,8259,947,19318,623
Tanzania,460,8529,710,17679,72
New Zealand,289,5231,283,11985,1015
Russia,410,8780,646,15823,6773
Philippines,329,7610,562,17318,3256
Philippines,211,8141,720,12788,4151
Croatia,240,8818,607,16052,5871
Greece,235,8436,22,17529,8456
Guatemala,282,8526,16,10493,2460
Zambia,354,5527,551,13951,7607
China,227,5505,779,11889,3437
Dominican Republic,161,9529,369,18147,6312
Russia,425,9970,226,18298,4452
China,493,6341,71,11773,8830
Ukraine,438,6378,481,17916,9386
Russia,493,6360,129,13282,8044
Mali,426,7573,289,15188,5066
China,302,9283,989,12946,2505
Czech Republic,322,7917,106,15287,318
United States,339,7764,520,10576,9121
Israel,348,8545,779,17539,9463
Uruguay,389,8241,216,19567,5112
China,484,9694,720,15574,6560
Israel,400,6375,874,18651,2293
Brazil,411,5874,202,19428,431
Tanzania,231,8901,829,12675,2960
China,162,5441,995,18699,331
Canada,296,5376,125,14550,2216
Argentina,290,5876,322,14287,5598
Iran,397,6523,79,16223,6953
Poland,309,5378,106,16296,7964
Indonesia,345,7365,745,12588,2159
United States,193,5018,169,11870,2876
Czech Republic,279,8838,379,13160,7936
Slovenia,249,6856,755,10198,9570
Comoros,374,9459,640,10780,1535
Senegal,116,6113,919,11263,8036
Russia,278,5523,276,16796,590
Portugal,453,4905,555,17061,8120
Mongolia,310,9582,747,16124,6179
Indonesia,188,6226,306,14082,8814
Brazil,287,4844,74,17958,5177
Russia,307,4103,311,11206,7426
Indonesia,219,9403,80,14567,5246
Philippines,198,5095,259,16950,3564
Russia,296,4188,475,12951,4642
Philippines,323,7345,995,12841,3973
Brazil,132,8565,446,14346,4045
France,473,8315,398,14957,4533
China,480,5150,602,11674,9904
Sri Lanka,133,8885,528,11353,4586
Peru,248,4684,85,15338,466
Indonesia,436,5565,308,12157,9612
China,237,7452,221,10551,1560
Sweden,299,7073,156,10984,4905
Palestinian Territory,283,4533,599,14954,952
Malaysia,349,4193,208,12567,6772
United States,139,6533,526,12301,1880
Colombia,356,5897,996,11275,7478
Indonesia,175,6981,216,15078,9909
Uzbekistan,492,4524,256,13180,9133
Japan,403,7875,497,11362,5250
China,207,6886,990,14687,3165
China,282,8537,392,17813,8658
Cameroon,170,5216,20,12952,7741
Jordan,231,8771,409,19432,7359
Azerbaijan,311,9418,478,18242,6426
Netherlands,312,4400,986,10309,321
Indonesia,340,6421,607,19917,9303
Russia,385,8805,667,11762,3772
Russia,119,4517,928,16129,8803
Indonesia,189,9311,696,18195,7703
Russia,322,9181,750,13851,1332
Iceland,377,8132,438,12531,92
Sweden,433,4620,587,10064,4037
Indonesia,219,4575,541,17860,3263
Jamaica,203,6027,259,12455,2749
Bangladesh,480,6921,66,10037,1753
Jordan,474,9206,9,17853,9705
Pakistan,251,8567,534,18313,917
Indonesia,445,6275,181,14748,1859
Dominican Republic,323,6049,842,11349,6268
Argentina,277,4329,718,10092,4955
Pakistan,475,7726,63,18083,6382
Bhutan,208,5144,175,12185,1297
Russia,433,5174,970,16383,5718
South Africa,222,8435,492,14403,594
China,471,6800,272,15287,2423
Philippines,192,6295,496,16245,3513
Sweden,179,4350,305,15112,7053
Afghanistan,458,6839,464,13353,2412
Indonesia,122,9287,734,15299,161
Ukraine,248,5607,805,17361,3824
China,154,9480,523,14501,1934
Bosnia and Herzegovina,404,9447,415,12328,3045
Brazil,500,7976,252,15407,4112
Philippines,199,7796,460,11126,1956
France,142,4266,597,15286,81
China,495,4297,962,13599,6808
China,233,9202,377,16617,1095
Madagascar,480,4849,251,11515,994
Peru,335,5252,636,13244,2499
Portugal,487,9563,782,11053,4742
Poland,336,6259,737,11103,2927
Venezuela,217,4355,97,18322,6666
Japan,345,9142,166,13079,6836
